Frame,MeanLoss,LossType
1,0.14484869322707108,Training
2,0.051134838199066876,Training
3,0.04263705877003385,Training
4,0.05380587081021782,Training
5,0.06189397801251257,Training
6,0.0400028087995687,Training
7,0.03698036129313025,Training
8,0.03500432531298393,Training
9,0.03440433639143385,Training
10,0.03283745354384332,Training
11,0.03161885584727745,Training
12,0.030560482589907907,Training
13,0.03011282775273074,Training
14,0.02931435017925293,Training
15,0.0281783655906717,Training
16,0.027084782260901004,Training
17,0.026661312564354927,Training
18,0.031292010992950765,Training
19,0.03009098077387507,Training
20,0.025230048145561373,Training
21,0.02397670163147485,Training
22,0.024200899582078206,Training
23,0.022687577869539236,Training
24,0.02211999552861894,Training
25,0.021691722862552203,Training
26,0.020823188617232428,Training
27,0.0205935835444475,Training
28,0.019877522579157977,Training
29,0.03000119892157503,Training
30,0.02144793621658241,Training
31,0.01929925889731269,Training
32,0.018163361037567036,Training
33,0.017801248890102206,Training
34,0.01738571671685621,Training
35,0.017052205830849522,Training
36,0.016714323478848186,Training
37,0.0162192445795112,Training
38,0.015928067860022113,Training
39,0.015588217016439237,Training
40,0.01592438705080184,Training
41,0.015386153091282691,Training
42,0.014520047262626056,Training
43,0.014086925147787033,Training
44,0.013547736498068518,Training
45,0.01330039045652977,Training
46,0.013595174634319484,Training
47,0.013214415459388599,Training
48,0.012678249597790377,Training
49,0.012260432955137087,Training
50,0.012389378205164154,Training
51,0.011771001566933533,Training
52,0.011612901303092416,Training
53,0.011357044033122375,Training
54,0.011165051425654274,Training
55,0.01092608189743142,Training
56,0.010673612330701961,Training
57,0.010192887388419971,Training
58,0.01043134264587726,Training
59,0.010160091594301757,Training
60,0.010673423741355687,Training
61,0.009811396266922207,Training
62,0.009453687534218108,Training
63,0.012797711260700182,Training
64,0.010151001134776134,Training
65,0.009062369373761377,Training
66,0.008821453911307921,Training
67,0.00846640870962014,Training
68,0.008934934742850674,Training
69,0.00859479905877596,Training
70,0.008486958376400691,Training
71,0.008180887176567198,Training
72,0.008188347916572879,Training
73,0.008178220932668455,Training
74,0.00815764900333994,Training
75,0.00801610674556178,Training
76,0.00780521165892315,Training
77,0.0077556930598223685,Training
78,0.007508864423575167,Training
79,0.00763735401244899,Training
80,0.007439877087278153,Training
81,0.0073764569233797156,Training
82,0.00738447119044001,Training
83,0.007408753396544735,Training
84,0.007197844349913558,Training
85,0.007056259496869584,Training
86,0.00657434018319519,Training
87,0.006917838000840697,Training
88,0.006878826279536038,Training
89,0.006865948805844977,Training
90,0.006744601508945375,Training
91,0.006461144068778784,Training
92,0.006382241037463427,Training
93,0.006539759787948645,Training
94,0.0062152065008887975,Training
95,0.006456198334689275,Training
96,0.006227122776995677,Training
97,0.006215520858166934,Training
98,0.009722470507414928,Training
99,0.008083768323323323,Training
100,0.006142494895968085,Training
101,0.005888232848067207,Training
102,0.005724553553971337,Training
103,0.005598624912496026,Training
104,0.0055671751123287745,Training
105,0.005784082115831697,Training
106,0.005685335982577013,Training
107,0.0055440704382270275,Training
108,0.00550125444983248,Training
109,0.005698466654959603,Training
110,0.005568618141056794,Training
111,0.005614524944951823,Training
112,0.005529566999554949,Training
113,0.0054588725808336035,Training
114,0.005337121500286149,Training
115,0.0054028504212451775,Training
116,0.005502554188095571,Training
117,0.005467495108973142,Training
118,0.005325761042762344,Training
119,0.005251837279809759,Training
120,0.005276109941016457,Training
121,0.005119066207614074,Training
122,0.0051802651078060305,Training
123,0.004958315883631081,Training
124,0.004963908557356127,Training
125,0.004873978029079365,Training
126,0.004947829375330785,Training
127,0.005066227994335639,Training
128,0.004852840175043643,Training
129,0.004920024039056986,Training
130,0.004715339740244811,Training
131,0.00489930860322914,Training
132,0.0049329716164910635,Training
133,0.004863139557587307,Training
134,0.0046580282079903826,Training
135,0.004710381740266318,Training
136,0.004599873194313465,Training
137,0.00463116658933748,Training
138,0.004454946770640878,Training
139,0.004497789516315253,Training
140,0.006261051780444602,Training
141,0.004573258292451223,Training
142,0.004346636166525032,Training
143,0.004294790700251765,Training
144,0.004213026296017247,Training
145,0.004341465044553526,Training
146,0.0041825072464836644,Training
147,0.00423445323043716,Training
148,0.004222345903900392,Training
149,0.004412573807703711,Training
