epoch,lr-AdamW,step,train/dice_background,train/dice_jaw,train/dice_lips,train/dice_mean,train/dice_tongue,train/loss,val/dice_background,val/dice_jaw,val/dice_lips,val/dice_mean,val/dice_tongue,val/iou_background,val/iou_jaw,val/iou_lips,val/iou_mean,val/iou_tongue,val/loss
,0.0003,0,,,,,,,,,,,,,,,,,
0,,9,0.9724096059799194,0.1370099037885666,6.55308030061974e-11,0.4675276577472687,0.7606911659240723,0.5285821557044983,,,,,,,,,,,
0,,13,,,,,,,0.9304712414741516,9.228681013828677e-11,4.0833270792406395e-11,0.2710362374782562,0.1536736637353897,0.8699939846992493,9.228681013828677e-11,4.0833270792406395e-11,0.2389717698097229,0.08589310199022293,1.0122123956680298
,0.0002926829491861254,14,,,,,,,,,,,,,,,,,
1,,19,0.978451132774353,0.20619215071201324,1.6313213280216843e-10,0.49520453810691833,0.7961748242378235,0.22934991121292114,,,,,,,,,,,
1,,27,,,,,,,0.9570897221565247,0.03711235523223877,4.0833270792406395e-11,0.4282779395580292,0.7189096808433533,0.9177752137184143,0.019338613376021385,4.0833270792406395e-11,0.3750956356525421,0.5632687211036682,0.3554190397262573
,0.0002714480406590546,28,,,,,,,,,,,,,,,,,
2,,29,0.9830271005630493,0.6397585868835449,1.083423628589486e-10,0.6436393857002258,0.9517719149589539,0.11838812381029129,,,,,,,,,,,
2,,39,0.9847919344902039,0.6625041365623474,1.5243901974049123e-10,0.648755669593811,0.9477266669273376,0.09504460543394089,,,,,,,,,,,
2,,41,,,,,,,0.9628704190254211,0.7452439665794373,4.0833270792406395e-11,0.6526544094085693,0.902503252029419,0.9284997582435608,0.5942258238792419,4.0833270792406395e-11,0.588031530380249,0.8294005393981934,0.23809421062469482
,0.0002383738952177247,42,,,,,,,,,,,,,,,,,
3,,49,0.9729301929473877,0.6034263968467712,5.6818182103679504e-11,0.6291517615318298,0.9402504563331604,0.12484659254550934,,,,,,,,,,,
3,,55,,,,,,,0.9652153849601746,0.8464273810386658,4.0833270792406395e-11,0.6830899119377136,0.9207169413566589,0.9328413605690002,0.7341635227203369,4.0833270792406395e-11,0.6313195824623108,0.858273446559906,0.171162411570549
,0.0001966980406590546,56,,,,,,,,,,,,,,,,,
4,,59,0.9794995784759521,0.7986719012260437,7.668711499153602e-11,0.6770867705345154,0.9301754832267761,0.10474531352519989,,,,,,,,,,,
4,,69,0.9849358797073364,0.8022881746292114,1.3054830827474717e-10,0.6811919212341309,0.9375434517860413,0.09018020331859589,,,,,,,,,,,
4,,69,,,,,,,0.9526934623718262,0.881971538066864,4.0833270792406395e-11,0.6618520021438599,0.8127428889274597,0.9101457595825195,0.789236843585968,4.0833270792406395e-11,0.6002739071846008,0.7017130255699158,0.21111200749874115
,0.00015049999999999997,70,,,,,,,,,,,,,,,,,
5,,79,0.9856935143470764,0.8507300019264221,1.2210012168001327e-10,0.6937745213508606,0.9386746883392334,0.06943514198064804,,,,,,,,,,,
5,,83,,,,,,,0.9620011448860168,0.7658345103263855,4.0833270792406395e-11,0.6586143374443054,0.9066216945648193,0.9269142746925354,0.621448814868927,4.0833270792406395e-11,0.5955186486244202,0.8337116241455078,0.15648114681243896
,0.00010430195934094535,84,,,,,,,,,,,,,,,,,
6,,89,0.9840071201324463,0.8438090085983276,0.47641733288764954,0.8165121674537659,0.9618151783943176,0.06938410550355911,,,,,,,,,,,
6,,97,,,,,,,0.961656391620636,0.8634939789772034,0.1255130022764206,0.7077451348304749,0.8803170323371887,0.9263505935668945,0.7599596381187439,0.06848615407943726,0.6381900310516357,0.7979636192321777,0.1548568159341812
,6.262610478227527e-05,98,,,,,,,,,,,,,,,,,
7,,99,0.9859203696250916,0.8195542693138123,0.41600000858306885,0.7906079292297363,0.9409569501876831,0.06374179571866989,,,,,,,,,,,
7,,109,0.9851888418197632,0.744158148765564,0.6228571534156799,0.8284605741500854,0.9616382122039795,0.07054582238197327,,,,,,,,,,,
7,,111,,,,,,,0.9603767395019531,0.8520422577857971,0.29425185918807983,0.7371733784675598,0.842022716999054,0.9240527153015137,0.7425122857093811,0.1742699295282364,0.6462000608444214,0.7439654469490051,0.17228193581104279
,2.955195934094537e-05,112,,,,,,,,,,,,,,,,,
8,,119,0.9818509221076965,0.8837418556213379,0.36858317255973816,0.7896208167076111,0.9243072867393494,0.08252955973148346,,,,,,,,,,,
8,,125,,,,,,,0.9650614261627197,0.8679731488227844,0.45398905873298645,0.7863983511924744,0.8585698008537292,0.9327322840690613,0.7669539451599121,0.29802101850509644,0.690911591053009,0.7659389972686768,0.1507783681154251
,8.317050813874547e-06,126,,,,,,,,,,,,,,,,,
9,,129,0.9899526834487915,0.8660688400268555,0.7277023196220398,0.885790228843689,0.9594370126724243,0.05411198362708092,,,,,,,,,,,
9,,139,0.9877437949180603,0.8480921387672424,0.5710014700889587,0.8447006344795227,0.9719650745391846,0.05832718312740326,,,,,,,,,,,
9,,139,,,,,,,0.9660000801086426,0.8671265244483948,0.46228575706481934,0.7900329828262329,0.864719569683075,0.934474766254425,0.7657656669616699,0.3041280210018158,0.6947605013847351,0.7746737599372864,0.14902950823307037
,0.0003,140,,,,,,,,,,,,,,,,,
10,,149,0.9864796996116638,0.8435133695602417,0.7948369383811951,0.8927356004714966,0.9461121559143066,0.07128752768039703,,,,,,,,,,,
10,,153,,,,,,,0.9518585801124573,0.6406974196434021,0.3212434947490692,0.6871939301490784,0.8349762558937073,0.9085022807121277,0.4739888608455658,0.19390493631362915,0.5771138072013855,0.7320592999458313,0.21297681331634521
,0.00029815940691897306,154,,,,,,,,,,,,,,,,,
