Frame,MeanLoss,LossType
1,0.1418773003515616,Training
2,0.04775386575183169,Training
3,0.047680449713744334,Training
4,0.037431837828709416,Training
5,0.03534757592877494,Training
6,0.033658335124378776,Training
7,0.03207142478253563,Training
8,0.051715178466147156,Training
9,0.0375866367856958,Training
10,0.03254113139223252,Training
11,0.031801433594369176,Training
12,0.029479483823611666,Training
13,0.0286353223433542,Training
14,0.027274788093211044,Training
15,0.027237927087059067,Training
16,0.02729001450375538,Training
17,0.025414879021434047,Training
18,0.025002380972033115,Training
19,0.02504174035987747,Training
20,0.024582872686175563,Training
21,0.022898167825827553,Training
22,0.03006434579152818,Training
23,0.02294909518990499,Training
24,0.02155167569837241,Training
25,0.02028611874142986,Training
26,0.020024068060502484,Training
27,0.019472065555459973,Training
28,0.018999587515118852,Training
29,0.019516196460995953,Training
30,0.01880504959610416,Training
31,0.017765390318331877,Training
32,0.017185032129083847,Training
33,0.01692162594985013,Training
34,0.01728590198593279,Training
35,0.017675122023740813,Training
36,0.01774849955326141,Training
37,0.015503975715655,Training
38,0.014601550945335657,Training
39,0.014460347933388913,Training
40,0.013862058047705622,Training
41,0.013676273860083661,Training
42,0.01302312028510913,Training
43,0.012899672180479068,Training
44,0.012461364352658613,Training
45,0.012431098992672206,Training
46,0.0123519840411638,Training
47,0.012342965804892986,Training
48,0.011361678657979143,Training
49,0.011138880771320702,Training
50,0.011034975789802436,Training
51,0.010663745154520099,Training
52,0.010462157417839365,Training
53,0.009988208985956969,Training
54,0.009984478186491636,Training
55,0.0099673980513393,Training
56,0.009639518353995399,Training
57,0.009574993826282113,Training
58,0.009375768181386019,Training
59,0.009225140262015201,Training
60,0.008883956369170132,Training
61,0.008728705820354137,Training
62,0.008649325313333848,Training
63,0.008792328210987743,Training
64,0.008273885190366438,Training
65,0.00845015312507934,Training
66,0.008025641474335347,Training
67,0.008190184894170779,Training
68,0.00789748313338658,Training
69,0.007845262402033813,Training
70,0.007444027400070533,Training
71,0.007806343009083796,Training
72,0.007658034185438755,Training
73,0.007156261875391451,Training
74,0.007162886778291185,Training
75,0.006975547442402672,Training
76,0.006610863224663471,Training
77,0.006912606863295706,Training
78,0.006755534304069605,Training
79,0.006976365634768423,Training
80,0.0068140286136770725,Training
81,0.006624434890447935,Training
82,0.0067280448674321616,Training
83,0.006386976875017272,Training
84,0.006336841028559008,Training
85,0.006474957424934156,Training
86,0.006379173367761483,Training
87,0.0060333483302224405,Training
88,0.005968249606232701,Training
89,0.006007391877474717,Training
90,0.006086539552982582,Training
91,0.0058242590653140155,Training
92,0.005726920488285855,Training
93,0.005828638138847231,Training
94,0.00576337642269209,Training
95,0.005579938381430762,Training
96,0.005631473750879163,Training
97,0.005428048323918672,Training
98,0.005586693123033947,Training
99,0.005852664166954879,Training
100,0.00558530107813549,Training
101,0.005195224079053237,Training
102,0.0052203175015817045,Training
103,0.005023235961069719,Training
104,0.005117104246294988,Training
105,0.005219266805519808,Training
106,0.005386304295336855,Training
107,0.0051730144178189,Training
108,0.00496227014867765,Training
109,0.005054970939970339,Training
110,0.004972366000460785,Training
111,0.004756365691610515,Training
112,0.005065880875990481,Training
113,0.005006065752313227,Training
114,0.0049255043439062045,Training
115,0.004710632915879641,Training
116,0.004777795511219113,Training
117,0.004516086696336667,Training
118,0.004573865785247262,Training
119,0.004579609397518453,Training
120,0.004662367826865161,Training
121,0.004527750015994349,Training
122,0.004465119855302335,Training
123,0.004647174060393347,Training
124,0.004638504144122861,Training
125,0.004427222099470262,Training
126,0.004285904667334427,Training
127,0.004214950680526539,Training
128,0.004037703360507348,Training
129,0.00416958111596632,Training
130,0.0044027575196417985,Training
131,0.004278563269250679,Training
132,0.004045757978508221,Training
133,0.004237775906308818,Training
134,0.004319434226791731,Training
135,0.004089577759752764,Training
136,0.004028868547435711,Training
137,0.004030876873907823,Training
138,0.00424289204636635,Training
139,0.004111501357410409,Training
140,0.003989477392398424,Training
141,0.003942572539098866,Training
142,0.0038984065327506085,Training
143,0.003808289013087138,Training
144,0.0038151600650356463,Training
145,0.003943139148252873,Training
146,0.003783866296729666,Training
147,0.0040754718998208435,Training
148,0.0035735290970732064,Training
149,0.003781876794499257,Training
150,0.0038296104317869233,Training
151,0.0037246618730616085,Training
152,0.0038320994171411244,Training
153,0.003577442081738958,Training
154,0.0037351582162846713,Training
155,0.003627651376708814,Training
156,0.0035059513820715213,Training
157,0.0036519844589154907,Training
158,0.0036323235463756437,Training
159,0.003580804226458981,Training
160,0.003581047064910842,Training
161,0.0034567817360155787,Training
162,0.0035870052495883286,Training
163,0.003544578120223622,Training
164,0.0034860465081932197,Training
165,0.003305564521706492,Training
166,0.0034420709991572766,Training
167,0.0033868516895825054,Training
168,0.003376217654110419,Training
169,0.003350137829067028,Training
170,0.003424692503842687,Training
171,0.0034819480123818476,Training
172,0.003382973039038572,Training
173,0.003257669936688918,Training
174,0.0030689856637818322,Training
175,0.0034198903102793765,Training
176,0.0033810409447653173,Training
177,0.0034272238239761795,Training
178,0.0031768662050836696,Training
179,0.0032096304749752586,Training
180,0.003370693559290387,Training
181,0.003329500652425714,Training
182,0.003108879783687724,Training
183,0.003087148833550763,Training
184,0.003163925339485199,Training
185,0.0032666387305472196,Training
186,0.003192984468051098,Training
187,0.003132454283386052,Training
188,0.0033219636493798032,Training
189,0.003055069992314116,Training
190,0.0029666855686867784,Training
191,0.0029998839779557724,Training
192,0.0030491195756082528,Training
193,0.0030516695491251402,Training
194,0.002994679254815631,Training
195,0.003071991763678866,Training
196,0.002910698921418522,Training
197,0.002961576451774483,Training
198,0.002930855253839921,Training
199,0.0028396261914167553,Training
200,0.003201313952907262,Training
